hoja,codigo,marca,modelo,feat,pos,anio,cant,costo,venta,dep
PARABRISAS,Euroglass,Audi,A4,Captor,PARABRISAS,,1,,,Principal
PARABRISAS,721830V,Chery,Tiggo 2,Antena,PARABRISAS,2018,1,,353355.0,Principal
PARABRISAS,082333V,Chevrolet,Montana,,PARABRISAS,2023,1,,,Principal
PARABRISAS,080232 D,Chevrolet,Astra,,PARABRISAS,2002,1,,256265.0,Principal
PARABRISAS,Original 086730,Chevrolet,Chevrolet 67/73,,PARABRISAS,1967/1973,1,,296900.0,Principal
PARABRISAS,081233 D,Chevrolet,Corsa,Antena,PARABRISAS,2012,1,,267420.0,Principal
PARABRISAS,080131 D,Chevrolet,Corsa 4300,,PARABRISAS,2001,2,,261965.0,Principal
PARABRISAS,Favicur,Chevrolet,Corsa Clasicc,S/Ant,PARABRISAS,,1,,261965.0,Principal
PARABRISAS,081031D,Chevrolet,Cruze 10,,PARABRISAS,2010,1,,300000.0,Principal
PARABRISAS,081032 D,Chevrolet,Cruze 10,Captor,PARABRISAS,2010,1,,313150.0,Principal
PARABRISAS,081630 V,Chevrolet,Cruze 16,,PARABRISAS,2016,2,,286100.0,Principal
PARABRISAS,082034V,Chevrolet,Cruze,Rsb/Cam,PARABRISAS,2020,1,,,Principal
PARABRISAS,081332V,Chevrolet,cobalt chino,,PARABRISAS,2013,1,,300960.0,Principal
PARABRISAS,081336V,Chevrolet,Cobalt,Captor,PARABRISAS,2013,1,,,Principal
PARABRISAS,081334V,Chevrolet,Onix 13,,PARABRISAS,2013,2,,273350.0,Principal
PARABRISAS,082030V,Chevrolet,Onix 20,,PARABRISAS,2020,1,,291600.0,Principal
PARABRISAS,089831 D,Chevrolet,S10,,PARABRISAS,1998,1,,256900.0,Principal
PARABRISAS,081231D,Chevrolet,S10 12,Captor,PARABRISAS,2012,3,,287900.0,Principal
PARABRISAS,081230D,Chevrolet,S10 12,,PARABRISAS,2012,4,,2.0,Principal
PARABRISAS,081735D,Chevrolet,S10 '19,,PARABRISAS,2019,2,,303250.0,Principal
PARABRISAS,082330D,Chevrolet,S10 '23,Camara,PARABRISAS,2023,2,,340755.0,Principal
PARABRISAS,081733D,Chevrolet,S10 17,Captor y Camara,PARABRISAS,2017,2,,371350.0,Principal
PARABRISAS,081732 V,Chevrolet,Spin,solo gps,PARABRISAS,2017,2,,314050.0,Principal
PARABRISAS,081331V,Chevrolet,Tracker,C/Vin,PARABRISAS,2013,1,,,Principal
PARABRISAS,081734V,Chevrolet,Tracker,camara sola,PARABRISAS,2017,1,,339980.0,Principal
PARABRISAS,82032,Chevrolet,Tracker,Captor,PARABRISAS,2020,2,,,Principal
PARABRISAS,082033V,Chevrolet,Tracker,Captor y Camara,PARABRISAS,2020,1,,382860.0,Principal
PARABRISAS,082031V,Chevrolet,Tracker,,PARABRISAS,2020,4,,339400.0,Principal
PARABRISAS,089830D,Chevrolet,Silverado 97/03,,PARABRISAS,1997/2003,2,,360200.0,Principal
PARABRISAS,080834D,Chevrolet,Spark,,PARABRISAS,2008,2,,,Principal
PARABRISAS,100730D,Citroen,C4,,PARABRISAS,2007,1,,316650.0,Principal
PARABRISAS,Favicur,Citroen,C3,Captor,PARABRISAS,2002,2,,257550.0,Principal
PARABRISAS,101131D,Citroen,C3 Picasso,Captor,PARABRISAS,2011,1,,349640.0,Principal
PARABRISAS,101332V,Citroen,C4 Lounge,,PARABRISAS,2013,1,,339675.0,Principal
PARABRISAS,101732V,Citroen,Cactus,Captor y Camara,PARABRISAS,2017,1,,342026.0,Principal
PARABRISAS,100930V,Citroen,DS3,Captor,PARABRISAS,2009,1,,383520.0,Principal
PARABRISAS,151432V,Dodge,Ram 1500/2500,Captor,PARABRISAS,2014,1,,,Principal
PARABRISAS,171732 V,Fiat,Argo Cronos Pulse,,PARABRISAS,2017,1,,295805.0,Principal
PARABRISAS,171731 D,Fiat,Argo Cronos Pulse,Captor,PARABRISAS,2017,1,,369970.0,Principal
PARABRISAS,178130D,Fiat,147/Fiorino,,PARABRISAS,1987,1,,325377.0,Principal
PARABRISAS,178935 D,Fiat,Duna/Uno,,PARABRISAS,1989,1,,250000.0,Principal
PARABRISAS,171230 D,Fiat,Palio 12,,PARABRISAS,2012,2,,284350.0,Principal
PARABRISAS,171231 D,Fiat,Palio 12,Captor,PARABRISAS,2012,1,,305450.0,Principal
PARABRISAS,Original,Fiat,Palio 12,,PARABRISAS,2012,1,,,Principal
PARABRISAS,179630 D,Fiat,Palio Siena,,PARABRISAS,1996,2,,242660.0,Principal
PARABRISAS,172030V,Fiat,Strada,,PARABRISAS,2020,1,,,Principal
PARABRISAS,170230 D,Fiat,Stilo,,PARABRISAS,2002,1,,356350.0,Principal
PARABRISAS,171635 V,Fiat,Toro,Sin Encapsular,PARABRISAS,2016,2,,285200.0,Principal
PARABRISAS,171636,Fiat,Toro,Captor,PARABRISAS,2016,2,,,Principal
PARABRISAS,172130 V,Fiat,Toro 21,,PARABRISAS,2021,3,,327500.0,Principal
PARABRISAS,172131 V,Fiat,Toro 21,Camara,PARABRISAS,2021,1,,383960.0,Principal
